"id","code","name"
361,"361","TALLERES PACHON"
362,"362","BELTRAILERS"
363,"363","LOHR"
364,"364","T&T"
365,"365","CARROCERIAS PRISMA"
366,"366","NATIONAL PRIETO"
367,"367","FELO"
368,"368","ISMACHA"
369,"369","MORA"
370,"370","FMI"
371,"371","VERING INGENIEROS ASOCIAD"
372,"372","WITZCO CHALLENGER RG50 "
373,"373","REMOLCABIM"
375,"375","TRAYVOCOL"
376,"376","INTRAILER LTDA"
377,"377","INDUSTRIAS MAHERCA"
378,"378","MAREN FOX"
379,"379","TALLER PEDRO URREGO "
380,"380","ELIACERO S.A.S"
381,"381","WEATHERFORD"
382,"382","POTRAIL"
383,"383","FAVECZA"
384,"384","TRAILERS SILVER"
385,"385","GREAT TRUCK"
386,"386","FRANCOCOLOMBIANA"
387,"387","GUERCAR"
388,"388","HECHIZA"
389,"389","CARROCERIAS MORENO"
390,"390","CLINICA HIDRAULICA LTDA"
391,"391","INDUSTRIAS INTRACAR"
392,"392","WELLER"
393,"393","BISON TRUCKS"
394,"394","REPRESENTAC INDUST. ORION"
395,"395","BERTOLINI"
396,"396","GINDY"
397,"397","ALLIED"
398,"398","THEURER"
400,"400","CARROCERIAS ALCAR"
401,"401","LA PLAYA"
402,"402","TRAILERS'MR"
403,"403","AGROINDU."
404,"404","INDUCAM J.C."
405,"405","S.G INGENIERIA"
406,"406","TALLER EL TRAILERO"
407,"407","MZCIA LTDA."
408,"408","DICOL LTDA"
409,"409","TALLER HERNANDEZ NICOLAS"
410,"410","RHINO"
411,"411","TRAILER'S BOHORQUEZ"
412,"412","ALQUISER"
414,"414","TALLER TFS"
415,"415","EAGLE TRUCK TRAILERS LTDA"
416,"416","APONCAR "
417,"417","INDUSTRIAS BOYACA"
418,"418","REMOLQUES INTRAHILLERS "
419,"419","INOXMEC"
420,"420","MUNDIAL DE MANUFACTURAS"
421,"421","INCOLTRAILERS LTDA"
422,"422","IND MET CEPEDA"
423,"423","CARROCERIA JAMIOY"
424,"424","TRANS-AUTOS VIRT"
425,"425","MANETRA S.A."
426,"426","VALORCON S.A."
427,"427","INDUSTRIAS TECNIMAR MORAL"
428,"428","INDUSTRIAS ACEVEDO Y COMP"
429,"429","INTERTRAILERS"
430,"430","INDUSTRIAS OXEN"
431,"431","MCN EXPORTS"
432,"432","INCALLES COLOMBIA"
433,"433","ITANREM"
434,"434","CARROCERIAS AMAGA"
435,"435","IND. METALICAS SIGMA LTDA"
436,"436","ASPRO"
437,"437","GES. INTE. MANTE."
438,"438","COLREMOLQUES CALI"
439,"439","AMERICAN TRAYLER"
440,"440","METALMECANO S.A."
441,"441","CARROCERIAS JAGUER"
442,"442","LAFE SECURITY"
443,"443","INDUCARIBE"
444,"444","TALLERES GUERRERO "
445,"445","ORION"
446,"446","ALEGRIA ACTIVITY"
447,"447","AFC TRAILERS"
448,"448","CIDIT LTDA"
449,"449","ICR LTDA"
450,"450","TRAILERS HERCULES"
451,"451","CRYOGENIC VESSEL ALTERNAT"
452,"452","RETESA"
453,"453","TRANS. TRIANA ISAZA LTDA"
454,"454","INCOLT.SAMACA"
455,"455","ARTICULADOS DE COLOMBIA"
456,"456","K.Y.INGENIERIA"
457,"457","TRANSAP S.A."
458,"458","CANACOL LTDA. "
459,"459","JAGUER"
460,"460","FERRELAMINAS MOSQUERA LTD"
461,"461","TRACTO CAR REMOLQUES"
462,"462","TECNITRAC'S"
463,"463","FABRICA CGC"
464,"464","MONTERREY"
465,"465","TALLER CARTRAILER"
466,"466","MARTINMACHIN"
467,"467","CARROCERIAS CANAFI"
468,"468","MUMA"
469,"469","EL ABARCO"
470,"470","COLOMCARGA S.A."
471,"471","INTLL-TORRES"
473,"473","TFM"
474,"474","TRAILERS DE ANTIOQUIA"
475,"475","INDUVOLCOS "
476,"476","TALLERES MILTON QUINTERO"
477,"477","SERVITRUCK"
478,"478","CARROCERIAS  JAMIOY"
