"id","code","name","municipality_id","department_id","postal_code"
85001,"85001000","YOPAL CASANARE","85001","85","850002"
85010,"85010000","AGUAZUL CASANARE","85010","85","856010"
85015,"85015000","CHAMEZA CASANARE","85015","85","856030"
85125,"85125000","HATO COROZAL CASANARE","85125","85","852010"
85136,"85136000","LA SALINA CASANARE","85136","85","851010"
85139,"85139000","MANI CASANARE","85139","85","854010"
85162,"85162000","MONTERREY CASANARE","85162","85","855010"
85225,"85225000","NUNCHIA CASANARE","85225","85","851070"
85230,"85230000","OROCUE CASANARE","85230","85","853050"
85250,"85250000","PAZ DE ARIPORO CASANARE","85250","85","852030"
85263,"85263000","PORE CASANARE","85263","85","852050"
85279,"85279000","RECETOR CASANARE","85279","85","856050"
85300,"85300000","SABANALARGA CASANARE","85300","85","855050"
85315,"85315000","SACAMA CASANARE","85315","85","851030"
85325,"85325000","SAN LUIS DE PALENQUE CASANARE","85325","85","853030"
85400,"85400000","TAMARA CASANARE","85400","85","851050"
85410,"85410000","TAURAMENA CASANARE","85410","85","854030"
85430,"85430000","TRINIDAD CASANARE","85430","85","853010"
85440,"85440000","VILLANUEVA CASANARE","85440","85","855030"
86001,"86001000","MOCOA PUTUMAYO","86001","86","860001"
86219,"86219000","COLON PUTUMAYO","86219","86","861040"
86320,"86320000","ORITO PUTUMAYO","86320","86","862001"
86568,"86568000","PUERTO ASIS PUTUMAYO","86568","86","862060"
86569,"86569000","PUERTO CAICEDO PUTUMAYO","86569","86","862080"
86571,"86571000","PUERTO GUZMAN PUTUMAYO","86571","86","863001"
86573,"86573000","LEGUIZAMO PUTUMAYO","86573","86","864001"
86749,"86749000","SIBUNDOY PUTUMAYO","86749","86","861020"
86755,"86755000","SAN FRANCISCO PUTUMAYO","86755","86","861001"
86757,"86757000","SAN MIGUEL PUTUMAYO","86757","86","862040"
86760,"86760000","SANTIAGO PUTUMAYO","86760","86","861060"
86865,"86865000","VALLE DEL GUAMUEZ PUTUMAYO","86865","86","862020"
86885,"86885000","VILLAGARZON PUTUMAYO","86885","86","861080"
88001,"88001000","SAN ANDRES 1 ARCHIP. SAN ANDRES PROVID","88001","88","880007"
88564,"88564000","PROVIDENCIA ARCHIP. SAN ANDRES PROVID","88564","88","880027"
91001,"91001000","LETICIA AMAZONAS","91001","91","910001"
91263,"91263000","EL ENCANTO AMAZONAS","91263","91","913010"
91405,"91405000","LA CHORRERA AMAZONAS","91405","91","914050"
91407,"91407000","LA PEDRERA AMAZONAS","91407","91","917010"
91430,"91430000","LA VICTORIA AMAZONAS","91430","91","916017"
91460,"91460000","MIRITI - PARANA AMAZONAS","91460","91","916057"
91530,"91530000","PUERTO ALEGRIA AMAZONAS","91530","91","913050"
91536,"91536000","PUERTO ARICA AMAZONAS","91536","91","912010"
91540,"91540000","PUERTO NARINO AMAZONAS","91540","91","911010"
91669,"91669000","PUERTO SANTANDER AMAZONAS","91669","91","915010"
91798,"91798000","TARAPACA AMAZONAS","91798","91","911030"
94001,"94001000","INIRIDA GUAINIA","94001","94","940001"
94343,"94343000","BARRANCO MINAS GUAINIA","94343","94","944010"
94663,"94663000","MAPIRIPANA GUAINIA","94663","94","944057"
94883,"94883000","SAN FELIPE GUAINIA","94883","94","942010"
94884,"94884000","PUERTO COLOMBIA GUAINIA","94884","94","941037"
94885,"94885000","LA GUADALUPE GUAINIA","94885","94","942057"
94886,"94886000","CACAHUAL GUAINIA","94886","94","941010"
94887,"94887000","PANA PANA GUAINIA","94887","94","943018"
94888,"94888000","MORICHAL GUAINIA","94888","94","943058"
